timestamp,faulty_frame
20251201_152752,204
20251201_155015,199
20251201_165701,180
20251201_170836,202
20251201_185202,202
20251201_191318,11
20251201_193603,157
20251201_194308,135
20251201_201435,134
20251201_202132,76
20251201_205540,72
20251201_212622,8
20251201_224206,126
20251201_225824,128
20251202_014628,133
20251202_031101,82
20251205_171937,165
20251205_185645,12
20251201_161720,47
20251201_161814,40
20251201_161906,37
20251201_170038,44
20251201_170130,202
20260121_165711,85
